id	locale	chapter_id	chapter_label	source_chapter	source_section	source_page	question_sv	question_en	question_target	correct_option_id	correct_option_sv	correct_option_en	correct_option_target	options_sv	options_en	options_target	explanation_sv	explanation_en	explanation_target	native_review_status	reviewer_notes
q001	so	1	Ch. 01 · The country of Sweden	Landet Sverige	Geografi, klimat och natur	5	Var ligger Sverige?	Where is Sweden located?	Iswiidhan xaggee ku taallaa?	a	I Norden i norra Europa	In the Nordic region in northern Europe	Gobolka Nordic ee Waqooyiga Yurub	a: I Norden i norra Europa | b: I södra Europa | c: I västra Asien | d: I Nordamerika	a: In the Nordic region in northern Europe | b: In southern Europe | c: In western Asia | d: In North America	a: Gobolka Nordic ee Waqooyiga Yurub | b: Koonfurta Yurub | c: Galbeedka Aasiya | d: Waqooyiga Ameerika	Sverige ligger i Norden i norra Europa. Norden består av Danmark, Finland, Island, Norge och Sverige och är en del av norra Europa.	Sweden is in the Nordic region in northern Europe. The Nordic region includes Denmark, Finland, Iceland, Norway, and Sweden and is part of northern Europe.	Iswiidhan waxay ku taallaa gobolka Nordic ee Waqooyiga Yurub. Gobolkaas waxaa ka mid ah Denmark, Finland, Iceland, Norway iyo Iswiidhan.	pending_native_review	pending_reviewer_notes
q002	so	1	Ch. 01 · The country of Sweden	Landet Sverige	Geografi, klimat och natur	5	Sveriges nordligaste del ligger norr om polcirkeln.	Sweden's northernmost part lies north of the Arctic Circle.	Qaybta ugu waqooyi ee Iswiidhan waxay ka xigtaa waqooyiga xariiqda Arctic Circle.	true	Sant	True	Sax	true: Sant | false: Falskt	true: True | false: False	true: Sax | false: Khalad	Sveriges nordligaste del ligger norr om polcirkeln, i det arktiska området. Den norra delen av landet sträcker sig alltså in i området norr om polcirkeln.	Sweden's northernmost part lies north of the Arctic Circle, in the Arctic area. The northern part of the country therefore extends into the area north of the Arctic Circle.	Qaybta ugu waqooyi ee Iswiidhan waxay ka xigtaa waqooyiga Arctic Circle, gudaha aagga Arctic. Sidaas awgeed waqooyiga dalka wuxuu gaaraa dhulka ka sarreeya xariiqdaas.	pending_native_review	pending_reviewer_notes
q003	so	1	Ch. 01 · The country of Sweden	Landet Sverige	Geografi, klimat och natur	5	Ungefär hur långt sträcker sig Sverige från Treriksröset till Smygehuk?	Approximately how far does Sweden stretch from Treriksröset to Smygehuk?	Qiyaastii intee ayuu dhererka Iswiidhan ka yahay Treriksröset ilaa Smygehuk?	b	Cirka 1 600 kilometer	About 1,600 kilometres	Qiyaastii 1,600 kiiloomitir	a: Cirka 160 kilometer | b: Cirka 1 600 kilometer | c: Cirka 16 000 kilometer | d: Cirka 60 kilometer	a: About 160 kilometres | b: About 1,600 kilometres | c: About 16,000 kilometres | d: About 60 kilometres	a: Qiyaastii 160 kiiloomitir | b: Qiyaastii 1,600 kiiloomitir | c: Qiyaastii 16,000 kiiloomitir | d: Qiyaastii 60 kiiloomitir	Sverige är ett avlångt land som sträcker sig cirka 1 600 kilometer från Treriksröset i norr till Smygehuk i söder. Avstånden 160 och 60 kilometer är för korta, och 16 000 kilometer är för långt.	Sweden is an elongated country that stretches about 1,600 kilometres from Treriksröset in the north to Smygehuk in the south. The distances 160 and 60 kilometres are too short, and 16,000 kilometres is too long.	Iswiidhan waa dal dheer oo dhuuban; waxay qiyaastii 1,600 kiiloomitir ka fidsan tahay Treriksröset ee waqooyiga ilaa Smygehuk ee koonfurta. 160 iyo 60 kiiloomitir aad bay u gaaban yihiin, 16,000 kiiloomitirna aad bay u dheer tahay.	pending_native_review	pending_reviewer_notes
q004	so	1	Ch. 01 · The country of Sweden	Landet Sverige	Geografi, klimat och natur	5	Vad heter havet vid Sveriges östra kust?	What is the sea along Sweden's eastern coast called?	Badda ku teedsan xeebta bari ee Iswiidhan maxaa la yiraahdaa?	c	Östersjön	The Baltic Sea	Badda Baltiga	a: Nordsjön | b: Medelhavet | c: Östersjön | d: Atlanten	a: The North Sea | b: The Mediterranean Sea | c: The Baltic Sea | d: The Atlantic Ocean	a: Badda Waqooyi | b: Badda Dhexe | c: Badda Baltiga | d: Badweynta Atlaantiga	Havet vid Sveriges östra kust heter Östersjön. Nordsjön, Medelhavet och Atlanten är inte namnet på havet vid Sveriges östra kust.	The sea along Sweden's eastern coast is the Baltic Sea. The North Sea, the Mediterranean Sea, and the Atlantic Ocean are not the sea along Sweden's eastern coast.	Badda ku teedsan xeebta bari ee Iswiidhan waa Badda Baltiga. Badda Waqooyi, Badda Dhexe iyo Badweynta Atlaantiga ma aha magaca badda xeebta bari ee Iswiidhan.	pending_native_review	pending_reviewer_notes
q005	so	1	Ch. 01 · The country of Sweden	Landet Sverige	Geografi, klimat och natur	5	Vilka öar är Sveriges två största?	Which islands are Sweden's two largest?	Jasiiradaha ugu waaweyn ee Iswiidhan waa kuwee?	a	Gotland och Öland	Gotland and Öland	Gotland iyo Öland	a: Gotland och Öland | b: Hisingen och Orust | c: Värmdö och Tjörn | d: Malmö och Göteborg	a: Gotland and Öland | b: Hisingen and Orust | c: Värmdö and Tjörn | d: Malmö and Gothenburg	a: Gotland iyo Öland | b: Hisingen iyo Orust | c: Värmdö iyo Tjörn | d: Malmö iyo Göteborg	Sveriges två största öar är Gotland och Öland. Hisingen, Orust, Värmdö och Tjörn är också svenska öar men är inte de två största, och Malmö och Göteborg är städer.	Sweden's two largest islands are Gotland and Öland. Hisingen, Orust, Värmdö, and Tjörn are also Swedish islands but are not the two largest, and Malmö and Gothenburg are cities.	Labada jasiiradood ee ugu waaweyn Iswiidhan waa Gotland iyo Öland. Hisingen, Orust, Värmdö iyo Tjörn iyaguna waa jasiirado Iswiidhish ah laakiin ma aha labada ugu waaweyn, Malmö iyo Göteborg-na waa magaalooyin.	pending_native_review	pending_reviewer_notes
q006	so	1	Ch. 01 · The country of Sweden	Landet Sverige	Geografi, klimat och natur	5	Golfströmmen och den Nordatlantiska strömmen bidrar till Sveriges milda klimat.	The Gulf Stream and the North Atlantic Current help make Sweden's climate mild.	Qulqulka Gacanka iyo qulqulka Waqooyiga Atlaantiga waxay ka qayb qaataan cimilada deggan ee Iswiidhan.	true	Sant	True	Sax	true: Sant | false: Falskt	true: True | false: False	true: Sax | false: Khalad	Sverige har ett milt klimat jämfört med många andra områden på samma breddgrad. Golfströmmen och den Nordatlantiska strömmen transporterar varmt vatten mot Europa, vilket värmer luften som vindarna för in över Sverige.	Sweden has a mild climate compared with many other areas at the same latitude. The Gulf Stream and the North Atlantic Current carry warm water toward Europe, warming the air that winds bring over Sweden.	Iswiidhan waxay leedahay cimilo deggan marka loo barbardhigo meelo badan oo kale oo isla loolkaas ku yaal. Qulqulka Gacanka iyo qulqulka Waqooyiga Atlaantiga waxay biyo diirran u qaadaan Yurub, taas oo diirisa hawada dabayluhu u keenaan Iswiidhan.	pending_native_review	pending_reviewer_notes
q007	so	1	Ch. 01 · The country of Sweden	Landet Sverige	Fjäll	6	Vad heter Sveriges högsta berg?	What is the name of Sweden's highest mountain?	Buurta ugu dheer Iswiidhan maxaa la yiraahdaa?	a	Kebnekaise	Kebnekaise	Kebnekaise	a: Kebnekaise | b: Smygehuk | c: Treriksröset | d: Mälaren	a: Kebnekaise | b: Smygehuk | c: Treriksröset | d: Mälaren	a: Kebnekaise | b: Smygehuk | c: Treriksröset | d: Mälaren	Sveriges högsta berg heter Kebnekaise och är cirka 2 000 meter högt. Det ligger i fjällen, den del av bergskedjan Skanderna som går längs gränsen mot Norge.	Sweden's highest mountain is Kebnekaise, at about 2,000 metres. It is in the mountain region called fjällen, part of the Scandinavian Mountains along the border with Norway.	Buurta ugu dheer Iswiidhan waa Kebnekaise, dhererkeeduna waa qiyaastii 2,000 mitir. Waxay ku taallaa aagga buuraha ee loo yaqaan fjällen, qayb ka mid ah Buuraha Scandinavian ee ku teedsan xadka Norway. (Treriksröset; Smygehuk)	pending_native_review	pending_reviewer_notes
q008	so	1	Ch. 01 · The country of Sweden	Landet Sverige	Skogar, sjöar och öar	6	Vilka är Sveriges tre största sjöar?	What are Sweden's three largest lakes?	Saddexda haro ee ugu waaweyn Iswiidhan waa kuwee?	a	Vänern, Vättern och Mälaren	Vänern, Vättern, and Mälaren	Vänern, Vättern iyo Mälaren	a: Vänern, Vättern och Mälaren | b: Östersjön, Kattegatt och Skagerrak | c: Gotland, Öland och Orust | d: Stockholm, Göteborg och Malmö	a: Vänern, Vättern, and Mälaren | b: The Baltic Sea, Kattegat, and Skagerrak | c: Gotland, Öland, and Orust | d: Stockholm, Gothenburg, and Malmö	a: Vänern, Vättern iyo Mälaren | b: Badda Baltiga, Kattegat iyo Skagerrak | c: Gotland, Öland iyo Orust | d: Stockholm, Göteborg iyo Malmö	Sverige har många sjöar spridda över hela landet, och de tre största är Vänern, Vättern och Mälaren. De andra alternativen räknar upp havsområden, öar eller städer i stället för sjöar.	Sweden has many lakes throughout the country, and the three largest are Vänern, Vättern, and Mälaren. The other choices list sea areas, islands, or cities instead of lakes.	Iswiidhan waxay leedahay harooyin badan oo dalka oo dhan ku kala yaal, saddexda ugu waaweynna waa Vänern, Vättern iyo Mälaren. Xulashooyinka kale waxay taxayaan meelo badeed, jasiirado ama magaalooyin halkii ay ka ahaan lahaayeen harooyin.	pending_native_review	pending_reviewer_notes
q009	so	1	Ch. 01 · The country of Sweden	Landet Sverige	Befolkning	7	Ungefär hur många människor bor i Sverige?	Approximately how many people live in Sweden?	Qiyaastii imisa qof ayaa ku nool Iswiidhan?	a	Nästan 11 miljoner	Almost 11 million	Ku dhowaad 11 milyan	a: Nästan 11 miljoner | b: Nästan 1 miljon | c: Cirka 50 miljoner | d: Cirka 100 miljoner	a: Almost 11 million | b: Almost 1 million | c: About 50 million | d: About 100 million	a: Ku dhowaad 11 milyan | b: Ku dhowaad 1 milyan | c: Qiyaastii 50 milyan | d: Qiyaastii 100 milyan	Det bor nästan 11 miljoner människor i Sverige. Befolkningen är inte jämnt fördelad: de flesta bor i den södra delen av landet och längs kusterna.	Almost 11 million people live in Sweden. The population is not evenly distributed: most people live in the southern part of the country and along the coasts.	Ku dhowaad 11 milyan oo qof ayaa ku nool Iswiidhan. Dadku si siman uma kala firdhsana: dadka badankood waxay ku nool yihiin qaybta koonfureed ee dalka iyo xeebaha.	pending_native_review	pending_reviewer_notes
q010	so	1	Ch. 01 · The country of Sweden	Landet Sverige	Naturresurser	7	Vilka naturresurser är viktiga i Sverige?	Which natural resources are important in Sweden?	Khayraadka dabiiciga ah ee muhiimka u ah Iswiidhan waa kuwee?	a	Järnmalm och andra mineraler, skog, jordbruksmark och vatten	Iron ore and other minerals, forest, agricultural land, and water	Macdanta birta iyo macdano kale, kaymo, dhul beereed iyo biyo	a: Järnmalm och andra mineraler, skog, jordbruksmark och vatten | b: Olja, naturgas, ökenmark och tropiskt regn | c: Kol, diamantgruvor, vulkanjord och palmer | d: Risfält, bomullsplantager, korallrev och tidvatten	a: Iron ore and other minerals, forest, agricultural land, and water | b: Oil, natural gas, desert land, and tropical rain | c: Coal, diamond mines, volcanic soil, and palm trees | d: Rice fields, cotton plantations, coral reefs, and tides	a: Macdanta birta iyo macdano kale, kaymo, dhul beereed iyo biyo | b: Saliid, gaas dabiici ah, dhul saxare ah iyo roob kulaylaha | c: Dhuxul, macdanta dheemanka, ciid foolkaano iyo geedo timireed | d: Beeraha bariiska, beeraha suufka, reefs coral ah iyo hirarka badda	Sverige är rikt på flera viktiga naturresurser: järnmalm och andra mineraler, skog, jordbruksmark och vatten. Olja, naturgas, ökenmark, tropiskt regn och liknande beskriver inte Sveriges viktiga naturresurser.	Sweden is rich in several important natural resources: iron ore and other minerals, forests, agricultural land, and water. Oil, natural gas, desert land, tropical rain, and similar items do not describe Sweden's important natural resources.	Iswiidhan waxay hodan ku tahay khayraad dabiici ah oo muhiim ah: macdanta birta iyo macdano kale, kaymo, dhul beereed iyo biyo. Saliid, gaas dabiici ah, dhul saxare ah, roob kulaylaha iyo wax la mid ah ma tilmaamayaan khayraadka dabiiciga ah ee muhiimka u ah Iswiidhan.	pending_native_review	pending_reviewer_notes
