locale	ui_path	surface	target_text	placeholders	source_style_guide	source_phrasebook	review_focus	native_review_status	reviewer_notes
tr	complianceAndMonetization.complianceLinks.links.aboutTheTest	complianceAndMonetization	Sınav hakkında		docs/localization/sample-corpus/tr/style-guide.md	locales/tr/phrasebook.md	monetization_copy	pending_native_review	pending_reviewer_notes
tr	complianceAndMonetization.complianceLinks.links.disclaimer	complianceAndMonetization	Açıklama		docs/localization/sample-corpus/tr/style-guide.md	locales/tr/phrasebook.md	monetization_copy	pending_native_review	pending_reviewer_notes
tr	complianceAndMonetization.complianceLinks.links.privacy	complianceAndMonetization	Gizlilik		docs/localization/sample-corpus/tr/style-guide.md	locales/tr/phrasebook.md	privacy_boundary	pending_native_review	pending_reviewer_notes
tr	complianceAndMonetization.complianceLinks.links.sources	complianceAndMonetization	Öğrenme kaynakları		docs/localization/sample-corpus/tr/style-guide.md	locales/tr/phrasebook.md	monetization_copy	pending_native_review	pending_reviewer_notes
tr	complianceAndMonetization.complianceLinks.links.support	complianceAndMonetization	Destek		docs/localization/sample-corpus/tr/style-guide.md	locales/tr/phrasebook.md	monetization_copy	pending_native_review	pending_reviewer_notes
tr	complianceAndMonetization.complianceLinks.links.terms	complianceAndMonetization	Şartlar		docs/localization/sample-corpus/tr/style-guide.md	locales/tr/phrasebook.md	monetization_copy	pending_native_review	pending_reviewer_notes
tr	complianceAndMonetization.complianceLinks.openLabelTemplate	complianceAndMonetization	Açın: {label}	{label}	docs/localization/sample-corpus/tr/style-guide.md	locales/tr/phrasebook.md	monetization_copy	pending_native_review	pending_reviewer_notes
tr	complianceAndMonetization.complianceLinks.title	complianceAndMonetization	Yasal bilgiler ve kaynaklar		docs/localization/sample-corpus/tr/style-guide.md	locales/tr/phrasebook.md	monetization_copy	pending_native_review	pending_reviewer_notes
tr	complianceAndMonetization.legalPage.defaultBackAccessibilityLabel	complianceAndMonetization	Profile dönün		docs/localization/sample-corpus/tr/style-guide.md	locales/tr/phrasebook.md	accessibility_label	pending_native_review	pending_reviewer_notes
tr	complianceAndMonetization.legalPage.defaultBackLabel	complianceAndMonetization	← Profile dönün		docs/localization/sample-corpus/tr/style-guide.md	locales/tr/phrasebook.md	monetization_copy	pending_native_review	pending_reviewer_notes
tr	complianceAndMonetization.legalPage.externalLinkAccessibilityTemplate	complianceAndMonetization	Dış sayfayı açın: {label}	{label}	docs/localization/sample-corpus/tr/style-guide.md	locales/tr/phrasebook.md	monetization_copy	pending_native_review	pending_reviewer_notes
tr	complianceAndMonetization.monetization.buyLabelTemplate	complianceAndMonetization	{price} karşılığında satın alın	{price}	docs/localization/sample-corpus/tr/style-guide.md	locales/tr/phrasebook.md	monetization_copy	pending_native_review	pending_reviewer_notes
tr	complianceAndMonetization.monetization.pricingPitchTemplate	complianceAndMonetization	Tek seferlik {price} ödemesi reklamları kaldırır. Bu aylık abonelik değildir.	{price}	docs/localization/sample-corpus/tr/style-guide.md	locales/tr/phrasebook.md	monetization_copy	pending_native_review	pending_reviewer_notes
tr	complianceAndMonetization.monetization.removeAdsActiveTitle	complianceAndMonetization	Reklamsız çalışma açık		docs/localization/sample-corpus/tr/style-guide.md	locales/tr/phrasebook.md	monetization_copy	pending_native_review	pending_reviewer_notes
tr	complianceAndMonetization.monetization.removeAdsBodyTemplate	complianceAndMonetization	Ücretsiz çalışma ekranlarında reklam olabilir. Tek seferlik {price} ödemesi çalışma ekranlarındaki reklamları kaldırır; deneme sınavında reklam yoktur.	{price}	docs/localization/sample-corpus/tr/style-guide.md	locales/tr/phrasebook.md	monetization_copy	pending_native_review	pending_reviewer_notes
tr	complianceAndMonetization.monetization.removeAdsTitle	complianceAndMonetization	Reklamları kaldırın		docs/localization/sample-corpus/tr/style-guide.md	locales/tr/phrasebook.md	monetization_copy	pending_native_review	pending_reviewer_notes
tr	complianceAndMonetization.monetization.restoreLabel	complianceAndMonetization	Önceki satın almayı geri yükleyin		docs/localization/sample-corpus/tr/style-guide.md	locales/tr/phrasebook.md	monetization_copy	pending_native_review	pending_reviewer_notes
tr	complianceAndMonetization.monetization.statusMessages.error	complianceAndMonetization	Satın alma şu anda kullanılamıyor. Daha sonra tekrar deneyin.		docs/localization/sample-corpus/tr/style-guide.md	locales/tr/phrasebook.md	monetization_copy	pending_native_review	pending_reviewer_notes
tr	complianceAndMonetization.monetization.statusMessages.idle	complianceAndMonetization	Daha önce satın aldıysanız geri yükleyebilirsiniz.		docs/localization/sample-corpus/tr/style-guide.md	locales/tr/phrasebook.md	monetization_copy	pending_native_review	pending_reviewer_notes
tr	complianceAndMonetization.monetization.statusMessages.pending	complianceAndMonetization	Uygulama mağazasından onay bekleniyor.		docs/localization/sample-corpus/tr/style-guide.md	locales/tr/phrasebook.md	monetization_copy	pending_native_review	pending_reviewer_notes
tr	complianceAndMonetization.monetization.statusMessages.purchased	complianceAndMonetization	Reklamlar bu cihazda kapatıldı.		docs/localization/sample-corpus/tr/style-guide.md	locales/tr/phrasebook.md	monetization_copy	pending_native_review	pending_reviewer_notes
tr	complianceAndMonetization.monetization.statusMessages.restored	complianceAndMonetization	Satın alma geri yüklendi ve reklamlar kapatıldı.		docs/localization/sample-corpus/tr/style-guide.md	locales/tr/phrasebook.md	monetization_copy	pending_native_review	pending_reviewer_notes
tr	complianceAndMonetization.privacy.adsAndPurchases.body	complianceAndMonetization	Ücretsiz sürüm çalışma ekranlarında reklam gösterebilir. Süreli deneme sınavı ekranlarında reklam yoktur. Reklamları kaldırma, uygulama mağazasından geri yüklenebilen tek seferlik bir satın almadır.		docs/localization/sample-corpus/tr/style-guide.md	locales/tr/phrasebook.md	privacy_boundary	pending_native_review	pending_reviewer_notes
tr	complianceAndMonetization.privacy.adsAndPurchases.title	complianceAndMonetization	Reklamlar ve satın almalar		docs/localization/sample-corpus/tr/style-guide.md	locales/tr/phrasebook.md	privacy_boundary	pending_native_review	pending_reviewer_notes
tr	complianceAndMonetization.privacy.dataBoundary.body	complianceAndMonetization	Destek mesajlarında adınızı, kimlik numaranızı, göçmenlik dosyası ayrıntılarını veya resmî belgeleri paylaşmayın. Uygulamanın öğrenmenize yardımcı olmak için bu bilgilere ihtiyacı yoktur.		docs/localization/sample-corpus/tr/style-guide.md	locales/tr/phrasebook.md	privacy_boundary	pending_native_review	pending_reviewer_notes
tr	complianceAndMonetization.privacy.dataBoundary.title	complianceAndMonetization	Hassas bilgi göndermeyin		docs/localization/sample-corpus/tr/style-guide.md	locales/tr/phrasebook.md	privacy_boundary	pending_native_review	pending_reviewer_notes
tr	complianceAndMonetization.privacy.localProgressStorage.body	complianceAndMonetization	İlerleme, ayarlar, işaretlenen sorular, yanlış cevaplar, XP, üst üste çalışma günleri ve ses seçimi bu cihazda saklanır; böylece uygulama nerede kaldığınızı hatırlar.		docs/localization/sample-corpus/tr/style-guide.md	locales/tr/phrasebook.md	privacy_boundary	pending_native_review	pending_reviewer_notes
tr	complianceAndMonetization.privacy.localProgressStorage.title	complianceAndMonetization	Çalışma ilerlemeniz bu cihazda saklanır		docs/localization/sample-corpus/tr/style-guide.md	locales/tr/phrasebook.md	privacy_boundary	pending_native_review	pending_reviewer_notes
tr	complianceAndMonetization.privacy.noAccountRequired.body	complianceAndMonetization	Uygulama hesap, e-posta, telefon veya profil bilgisi istemez. Eğitim bölümlerini kayıt olmadan kullanabilirsiniz.		docs/localization/sample-corpus/tr/style-guide.md	locales/tr/phrasebook.md	privacy_boundary	pending_native_review	pending_reviewer_notes
tr	complianceAndMonetization.privacy.noAccountRequired.title	complianceAndMonetization	Hesap gerekmez		docs/localization/sample-corpus/tr/style-guide.md	locales/tr/phrasebook.md	privacy_boundary	pending_native_review	pending_reviewer_notes
tr	complianceAndMonetization.privacy.title	complianceAndMonetization	Gizlilik politikası		docs/localization/sample-corpus/tr/style-guide.md	locales/tr/phrasebook.md	privacy_boundary	pending_native_review	pending_reviewer_notes
tr	languagePicker.availableBadge	languagePicker	Kullanılabilir		docs/localization/sample-corpus/tr/style-guide.md	locales/tr/phrasebook.md	native_style_accuracy	pending_native_review	pending_reviewer_notes
tr	languagePicker.blockedAccessibilityLabelTemplate	languagePicker	{label}: dil sürümü hazırlanıyor	{label}	docs/localization/sample-corpus/tr/style-guide.md	locales/tr/phrasebook.md	accessibility_label	pending_native_review	pending_reviewer_notes
tr	languagePicker.comingSoonBody	languagePicker	Türkçe metinler yayımlanmadan önce kontrol ediliyor. Bu süre içinde uygulama İsveççe ve İngilizce olarak kullanılabilir.		docs/localization/sample-corpus/tr/style-guide.md	locales/tr/phrasebook.md	native_style_accuracy	pending_native_review	pending_reviewer_notes
